trial,mu_star,correct_answer,user_response,correct
4,0.5,12,2,FALSE
5,1.5,3,3,TRUE
6,1,16,16,TRUE
7,1.5,20,10,FALSE
8,2,20,20,TRUE
9,0,17,12,FALSE
10,0,1,7,FALSE
11,2,9,9,TRUE
12,1.5,2,2,TRUE
13,0.5,9,13,FALSE
14,2,10,10,TRUE
15,0.5,16,20,FALSE
16,0,19,15,FALSE
17,1,7,7,TRUE
18,1.5,6,2,FALSE
19,0.5,9,10,FALSE
20,0,12,7,FALSE
21,0.5,9,7,FALSE
22,0.5,6,15,FALSE
23,2,16,13,FALSE
24,0,18,19,FALSE
25,1,14,14,TRUE
26,2,20,20,TRUE
27,1,8,19,FALSE
28,1.5,8,8,TRUE
29,0,17,14,FALSE
30,2,13,13,TRUE
31,1,1,12,FALSE
32,0.5,5,7,FALSE
33,1.5,19,14,FALSE
34,2,12,12,TRUE
35,0,14,8,FALSE
36,0.5,18,19,FALSE
37,1.5,9,9,TRUE
38,0.5,6,6,TRUE
39,2,8,8,TRUE
40,0,15,9,FALSE
41,1.5,3,3,TRUE
42,1,18,14,FALSE
43,1,17,17,TRUE
44,1.5,4,4,TRUE
45,0,15,7,FALSE
46,0,17,20,FALSE
47,1,20,20,TRUE
48,0.5,9,12,FALSE
49,2,4,4,TRUE
50,2,11,1,FALSE
51,0,9,10,FALSE
52,2,2,9,FALSE
53,0,19,1,FALSE
54,2,3,3,TRUE
55,0.5,12,18,FALSE
56,1.5,3,3,TRUE
57,1,16,18,FALSE
58,1.5,20,20,TRUE
59,2,20,20,TRUE
60,0,17,15,FALSE
61,0,1,7,FALSE
62,2,9,9,TRUE
63,1.5,2,2,TRUE
64,0.5,9,16,FALSE
65,2,10,10,TRUE
66,0.5,16,16,TRUE
67,0,19,7,FALSE
68,1,7,7,TRUE
69,1.5,6,2,FALSE
70,0.5,9,7,FALSE
71,0,12,20,FALSE
72,0.5,9,14,FALSE
73,0.5,6,16,FALSE
74,2,16,13,FALSE
75,0,18,13,FALSE
76,1,14,14,TRUE
77,2,20,20,TRUE
78,1,8,19,FALSE
79,1.5,8,8,TRUE
