trial,mu_star,correct_answer,user_response,correct
1,2,3,3,TRUE
2,0.5,12,12,TRUE
3,1.5,3,3,TRUE
4,1,16,18,FALSE
5,1.5,20,10,FALSE
6,2,20,20,TRUE
7,0,17,12,FALSE
8,0,1,7,FALSE
9,2,9,9,TRUE
10,1.5,2,2,TRUE
11,0.5,9,13,FALSE
12,2,10,10,TRUE
13,0.5,16,16,TRUE
14,0,19,7,FALSE
15,1,7,7,TRUE
16,1.5,6,6,TRUE
17,0.5,9,10,FALSE
18,0,12,7,FALSE
19,0.5,9,20,FALSE
20,0.5,6,16,FALSE
21,2,16,13,FALSE
22,0,18,13,FALSE
23,1,14,14,TRUE
24,2,20,20,TRUE
25,1,8,19,FALSE
26,1.5,8,8,TRUE
27,0,17,13,FALSE
28,2,13,13,TRUE
29,1,1,1,TRUE
30,0.5,5,5,TRUE
31,1.5,19,19,TRUE
32,2,12,12,TRUE
33,0,14,14,TRUE
34,0.5,18,13,FALSE
35,1.5,9,9,TRUE
36,0.5,6,6,TRUE
37,2,8,8,TRUE
38,0,15,18,FALSE
39,1.5,3,3,TRUE
40,1,18,14,FALSE
41,1,17,17,TRUE
42,1.5,4,4,TRUE
43,0,15,7,FALSE
44,0,17,9,FALSE
45,1,20,20,TRUE
46,0.5,9,12,FALSE
47,2,4,4,TRUE
48,2,11,11,TRUE
49,0,9,19,FALSE
50,2,2,2,TRUE
51,0,19,11,FALSE
52,1,3,4,FALSE
53,1.5,9,9,TRUE
54,1,2,2,TRUE
55,0,6,10,FALSE
56,1.5,16,16,TRUE
57,2,6,13,FALSE
58,1,20,20,TRUE
59,0,2,1,FALSE
60,1.5,8,8,TRUE
61,2,3,3,TRUE
62,1,1,1,TRUE
63,0,7,10,FALSE
64,1,15,1,FALSE
65,0,6,11,FALSE
66,1,16,5,FALSE
67,1,15,15,TRUE
68,2,19,19,TRUE
69,1.5,12,14,FALSE
70,1.5,8,8,TRUE
71,1,11,19,FALSE
72,0.5,11,1,FALSE
73,0,15,20,FALSE
74,2,13,13,TRUE
75,1.5,16,11,FALSE
76,2,18,18,TRUE
77,0,15,13,FALSE
78,2,15,15,TRUE
79,2,17,17,TRUE
80,1.5,2,2,TRUE
81,0,13,12,FALSE
82,1,8,8,TRUE
83,1,16,16,TRUE
84,2,6,6,TRUE
85,1,15,15,TRUE
86,0,20,14,FALSE
87,2,16,16,TRUE
88,1.5,13,19,FALSE
89,1,7,7,TRUE
90,0,1,13,FALSE
91,1,1,1,TRUE
92,1,6,5,FALSE
93,2,17,17,TRUE
94,2,6,6,TRUE
95,0.5,9,15,FALSE
96,1,20,1,FALSE
97,0.5,1,19,FALSE
98,2,8,8,TRUE
99,1,10,12,FALSE
100,0.5,10,11,FALSE
101,1.5,7,7,TRUE
102,0.5,4,4,TRUE
103,2,9,9,TRUE
104,2,18,18,TRUE
105,1,9,18,FALSE
106,2,8,8,TRUE
107,2,3,3,TRUE
108,0,20,4,FALSE
109,1.5,4,4,TRUE
110,1.5,18,18,TRUE
111,1.5,16,10,FALSE
112,1.5,8,8,TRUE
113,1.5,7,7,TRUE
114,2,2,15,FALSE
115,1.5,8,8,TRUE
116,1,15,13,FALSE
117,0,11,13,FALSE
118,1,8,8,TRUE
119,0.5,18,19,FALSE
120,2,13,13,TRUE
121,0,1,16,FALSE
122,1,17,4,FALSE
123,2,5,5,TRUE
124,2,17,17,TRUE
125,0.5,16,8,FALSE
126,0,2,20,FALSE
127,1,16,16,TRUE
128,0.5,3,13,FALSE
129,0.5,17,2,FALSE
130,0.5,6,4,FALSE
131,0.5,19,11,FALSE
132,1.5,15,7,FALSE
133,2,2,2,TRUE
134,2,8,8,TRUE
135,2,19,19,TRUE
136,0,9,14,FALSE
137,1,11,11,TRUE
138,2,10,12,FALSE
139,0.5,3,14,FALSE
140,1.5,14,15,FALSE
141,0,3,8,FALSE
142,0.5,17,9,FALSE
143,2,19,19,TRUE
144,2,9,9,TRUE
145,1,1,15,FALSE
146,1,20,20,TRUE
147,0.5,4,14,FALSE
148,0,11,9,FALSE
149,1,6,6,TRUE
150,0.5,9,5,FALSE
151,0,18,18,TRUE
152,1.5,18,18,TRUE
153,0.5,12,15,FALSE
154,1.5,17,14,FALSE
155,0.5,7,17,FALSE
156,1,5,5,TRUE
157,0.5,13,11,FALSE
158,0,12,14,FALSE
159,0,4,13,FALSE
160,1,12,14,FALSE
161,1.5,6,6,TRUE
162,1.5,19,19,TRUE
163,0,11,3,FALSE
164,1,6,4,FALSE
165,0.5,1,9,FALSE
166,0.5,5,1,FALSE
167,1.5,8,6,FALSE
168,2,10,10,TRUE
169,0,17,3,FALSE
170,1.5,10,10,TRUE
171,2,15,15,TRUE
172,0,17,10,FALSE
173,0,13,19,FALSE
174,1,14,14,TRUE
175,1,3,14,FALSE
176,0,13,15,FALSE
177,1.5,16,3,FALSE
178,2,3,3,TRUE
179,0,7,16,FALSE
180,1,11,5,FALSE
181,0.5,20,5,FALSE
182,1,6,13,FALSE
183,0.5,13,6,FALSE
184,0,11,18,FALSE
185,0,3,12,FALSE
186,1.5,5,15,FALSE
187,1.5,6,14,FALSE
188,0,14,13,FALSE
189,0,18,13,FALSE
190,2,12,12,TRUE
191,0.5,15,4,FALSE
192,1,12,12,TRUE
193,2,16,16,TRUE
194,1.5,4,4,TRUE
195,1.5,8,1,FALSE
196,1.5,15,15,TRUE
197,1.5,15,15,TRUE
198,1.5,7,19,FALSE
199,0.5,16,17,FALSE
200,0.5,16,1,FALSE
201,1.5,8,13,FALSE
202,0,13,6,FALSE
