trial,df,p_value,correct_answer,user_response,correct
1,30,0.08345355743974879,19,19,TRUE
2,5,0.6077695667266201,20,5,FALSE
3,20,0.9296524602231254,14,17,FALSE
4,10,0.06096887171766245,7,4,FALSE
5,20,0.532551817968657,16,6,FALSE
6,30,0.2753916328673534,4,14,FALSE
7,1,3.8829316953462335e-10,11,11,TRUE
8,1,8.668063224113679e-7,13,13,TRUE
9,30,0.3698721476523349,4,10,FALSE
10,20,0.7943875229714933,8,1,FALSE
11,5,0.4020942584682776,2,12,FALSE
12,30,0.3078311913897466,7,8,FALSE
13,5,0.28282143295098394,20,2,FALSE
14,1,5.26107761760267e-10,2,2,TRUE
15,10,0.0234948549381708,11,19,FALSE
16,20,0.1803746768387559,10,15,FALSE
17,5,0.18782077416901785,4,5,FALSE
18,1,4.2548627367517105e-06,20,20,TRUE
19,5,0.6495725411448449,20,10,FALSE
20,5,0.07259205840001369,16,14,FALSE
21,30,0.82125766570608,16,20,FALSE
22,1,0.01010456744869088,3,3,TRUE
23,10,0.30182445236665534,5,3,FALSE
24,30,0.6143938692641263,13,2,FALSE
25,10,0.6284556364019246,1,20,FALSE
26,20,0.138481050941431,20,16,FALSE
27,1,0.00216954340993364,7,7,TRUE
28,30,0.2991331690413852,7,5,FALSE
29,10,0.04442911947621304,16,4,FALSE
30,5,3.956767180982677e-5,6,20,FALSE
31,20,0.4484504178947383,4,14,FALSE
32,30,0.468123927658327,5,14,FALSE
33,1,7.963071673782363e-9,20,20,TRUE
34,5,0.9443907364722932,12,15,FALSE
35,20,0.611633449069716,5,2,FALSE
36,5,0.6222141622167379,14,2,FALSE
37,30,0.4759761306069051,20,19,FALSE
38,1,8.63374072265244e-4,12,12,TRUE
39,20,0.08096155895745472,12,16,FALSE
40,10,0.5012544204715078,20,4,FALSE
41,10,0.7539547083797971,13,10,FALSE
42,20,0.01229259496282952,1,13,FALSE
43,1,2.1840579175082816e-11,7,7,TRUE
44,1,0.02805495702934127,10,10,TRUE
45,10,0.243192509794919,9,9,TRUE
46,5,0.1279543324366994,4,4,TRUE
47,30,0.5134448049388626,5,10,FALSE
48,30,0.16074933355532442,19,15,FALSE
49,1,1.0131129000136587e-6,14,14,TRUE
50,30,0.6812156925584958,9,10,FALSE
51,1,1.157585040047998e-11,11,11,TRUE
52,10,0.7031844911395491,16,9,FALSE
53,20,0.4579930053353816,6,19,FALSE
54,10,0.16918037895438645,17,1,FALSE
55,1,0.00517167632688517,17,17,TRUE
56,20,0.24400707439770705,9,15,FALSE
57,30,0.399455616779099,15,12,FALSE
58,10,0.563992643228355,15,12,FALSE
59,1,5.11097201608456e-5,13,13,TRUE
60,20,0.3360086469115328,19,6,FALSE
61,30,0.6653176587597893,8,19,FALSE
62,10,0.9265714356627536,17,18,FALSE
63,1,1.941840317292e-8,7,7,TRUE
64,10,0.9548832734292942,6,1,FALSE
65,1,1.7376579536763358e-8,1,1,TRUE
66,10,0.7194923110798142,8,3,FALSE
67,10,0.9228354815132354,15,14,FALSE
68,30,0.5074342391417047,20,1,FALSE
69,20,0.6299430462015618,13,7,FALSE
70,20,0.921088656608002,18,2,FALSE
71,10,0.11218207968715067,6,19,FALSE
72,5,0.07549253706992752,6,6,TRUE
73,1,0.00210121014512157,17,17,TRUE
74,30,0.5854848648244471,14,20,FALSE
75,20,0.948773698555172,20,4,FALSE
76,30,0.7482797513250725,1,16,FALSE
77,1,1.9004043612486348e-6,17,17,TRUE
78,30,0.7890403510264945,4,14,FALSE
79,30,0.16885654549844112,7,17,FALSE
80,20,0.06091199616553464,9,20,FALSE
81,1,9.336935978227066e-4,10,10,TRUE
82,10,0.17647999021100316,16,6,FALSE
83,10,0.6744451171784657,13,12,FALSE
84,30,0.719131412918312,5,8,FALSE
85,10,0.4351448454319638,4,13,FALSE
86,1,1.9990666284149093e-5,7,7,TRUE
87,30,0.9564607863237028,7,20,FALSE
88,20,0.8454219470009832,18,1,FALSE
89,10,0.5811627889277308,18,15,FALSE
90,1,5.661099309675894e-4,20,20,TRUE
91,10,0.13248758956375098,18,15,FALSE
92,10,0.9499093462944752,14,16,FALSE
93,30,0.01093964513854747,3,7,FALSE
94,30,0.33871019326298735,16,17,FALSE
95,5,0.15167775900197478,18,8,FALSE
